Columns: lon lat depth mrr mtt mpp mrt mrp mtp iexp name lon lat str1 dip1 rake1 str2 dip2 rake2 sc iexp name

95.99 2.65 23 4.54 -3.01 -1.53 5.35 -5.63 2.20 26 X Y 110202B 2.65 297 16 73 135 75 95 9.010 26 110202B
96.05 2.89 27 1.11 -0.30 -0.81 1.10 -2.78 0.85 25 X Y 110202J 2.89 303 13 56 158 79 98 3.260 25 110202J
95.74 2.86 31 1.26 -1.02 -0.24 1.58 -1.18 0.86 24 X Y 111302E 2.86 297 18 81 127 72 93 2.430 24 111302E
96.11 2.51 41 1.11 -5.43 4.32 4.25 -4.11 3.99 23 X Y 113002B 2.51 242 47 2 150 88 137 8.430 23 113002B
94.54 8.54 15 0.03 -3.00 2.97 0.79 1.06 1.30 23 X Y 121302A 8.54 325 70 174 58 84 20 3.510 23 121302A
97.54 4.07 140 -3.72 4.04 -0.31 9.97 -4.59 0.06 23 X Y 122702A 4.07 71 12 -132 293 81 -82 11.640 23 122702A
93.89 8.00 17 1.10 0.08 -1.18 1.65 -3.02 7.19 23 X Y 011703E 8.00 271 70 -7 3 84 -160 7.847 23 011703E
94.32 7.80 37 -1.67 -5.13 6.80 0.48 -0.21 2.61 23 X Y 013003C 7.80 237 85 -5 327 85 -174 6.543 23 013003C
94.88 4.04 31 2.76 1.77 -4.54 -3.82 0.94 3.50 23 X Y 020203C 4.04 193 47 156 300 72 46 6.580 23 020203C
95.76 2.77 20 -0.18 -2.28 2.46 4.19 -4.34 2.52 23 X Y 062803A 2.77 239 29 1 148 89 119 6.731 23 062803A
93.42 6.79 15 1.41 0.29 -1.70 1.43 -0.03 1.63 24 X Y 072103F 6.79 5 49 148 117 67 46 2.677 24 072103F
95.90 5.36 125 0.64 -1.38 0.74 0.65 6.09 -5.03 24 X Y 090503A 5.36 274 40 175 8 87 50 8.015 24 090503A
96.38 1.85 29 1.99 -1.11 -0.88 2.88 -3.21 1.43 24 X Y 091003A 1.85 305 14 78 138 77 93 4.847 24 091003A
97.57 4.74 15 2.91 0.30 -3.21 3.28 3.33 6.93 23 X Y 091303G 4.74 103 62 25 1 68 150 8.894 23 091303G
96.12 2.16 39 3.06 -4.46 1.41 1.75 -2.86 0.71 23 X Y 091503A 2.16 247 40 36 128 68 124 5.230 23 091503A
94.69 4.48 33 2.08 -1.51 -0.57 -4.08 -2.93 1.41 23 X Y 122903E 4.48 130 17 154 245 83 75 5.255 23 122903E
93.83 7.13 62 0.92 -1.67 0.75 0.43 -1.23 1.25 23 X Y 022304A 7.13 254 48 22 149 74 136 2.302 23 022304A
94.10 8.80 19 -0.25 -0.54 0.78 -0.13 -0.26 0.69 24 X Y 041504F 8.80 157 80 173 249 83 10 0.984 24 041504F
94.15 8.85 18 -1.57 -1.14 2.70 -2.26 -1.33 1.75 23 X Y 041504I 8.85 163 40 -156 54 75 -53 3.904 23 041504I
94.14 8.88 21 -0.14 -2.05 2.19 -0.65 0.01 1.76 24 X Y 041604A 8.88 156 78 -174 64 84 -12 2.833 24 041604A
94.05 8.90 22 0.72 -2.06 1.34 -0.58 -0.09 0.87 23 X Y 041604D 8.90 149 72 176 240 86 18 1.988 23 041604D
97.58 0.18 24 0.73 -0.35 -0.38 1.06 -0.85 0.35 25 X Y 051104B 0.18 322 14 102 130 76 87 1.539 25 051104B
93.81 7.40 73 0.01 -2.75 2.74 0.08 -1.15 -0.33 23 X Y 051804A 7.40 223 76 14 130 76 165 2.974 23 051804A
97.36 1.07 38 2.73 -3.42 0.69 1.95 -1.34 4.11 23 X Y 071704E 1.07 267 41 38 146 66 125 4.982 23 071704E
93.61 9.56 106 0.37 -0.95 0.59 -0.46 -0.41 0.22 24 X Y 111704D 9.56 138 49 161 240 76 42 1.056 24 111704D
97.83 1.86 44 0.92 -0.35 -0.57 0.67 -0.39 0.55 24 X Y 112704G 1.86 335 28 114 128 65 78 1.247 24 112704G
94.26 3.09 29 1.04 -0.43 -0.61 2.98 -2.40 0.43 29 X Y 122604A 3.09 329 8 110 129 83 87 3.953 29 122604A
92.79 6.61 14 5.26 -0.84 -4.41 3.95 -2.91 2.10 26 X Y 122604B 6.61 351 27 121 137 67 75 7.227 26 122604B
92.45 8.58 12 0.94 -0.12 -0.81 0.02 -0.27 0.32 26 X Y 122604C 8.58 333 38 82 163 53 96 0.977 26 122604C
94.11 8.91 33 3.80 -3.19 -0.60 0.54 1.57 -0.56 25 X Y 122604D 8.91 272 40 115 61 54 70 3.865 25 122604D
94.31 2.57 17 0.89 -0.48 -0.41 0.17 -0.27 0.27 25 X Y 122604G 2.57 307 35 83 136 56 95 0.862 25 122604G
94.17 3.47 12 0.56 -0.44 -0.12 0.25 0.69 0.62 25 X Y 122604I 3.47 96 48 33 343 67 133 1.069 25 122604I
94.32 3.61 26 -1.69 1.45 0.23 -0.54 -0.30 -0.20 24 X Y 122604J 3.61 289 37 -73 88 55 -102 1.696 24 122604J
94.11 3.83 20 -2.28 1.54 0.74 -0.47 0.36 -1.08 24 X Y 122604L 3.83 304 38 -91 126 52 -89 2.361 24 122604L
94.04 2.59 12 1.01 -0.59 -0.42 1.10 -0.20 1.06 25 X Y 122604N 2.59 342 34 139 108 68 63 1.759 25 122604N
93.76 4.37 12 -5.23 4.62 0.61 1.28 -4.05 -3.16 23 X Y 122704A 4.37 96 36 -131 323 64 -65 7.249 23 122704A
94.33 5.36 39 3.46 -1.39 -2.08 1.96 -2.54 2.03 24 X Y 122704B 5.36 318 24 87 142 66 92 4.843 24 122704B
92.29 8.25 34 -1.88 0.61 1.27 -0.21 -0.62 -0.60 24 X Y 122704C 8.25 139 39 -109 342 53 -75 1.859 24 122704C
93.69 8.98 16 -1.19 0.11 1.08 -0.62 0.02 0.23 24 X Y 122704D 8.98 173 46 -121 34 52 -62 1.290 24 122704D
94.95 3.20 29 4.72 -4.35 -0.37 1.81 -1.67 2.90 23 X Y 122704F 3.20 288 34 75 126 58 100 5.855 23 122704F
92.73 6.68 17 4.19 -0.97 -3.22 1.16 0.51 1.26 23 X Y 122704G 6.68 350 47 110 142 47 70 4.151 23 122704G
